"(0, 0.866232204711494)"
"(1, 0.9149590027111881)"
"(2, 0.8728378501353988)"
"(3, 0.9499071095461964)"
"(4, 0.9724242271461778)"
"(5, 0.9505801559882171)"
"(6, 0.8102239687177437)"
"(7, 0.9549932236057785)"
"(8, 0.9721988269131545)"
"(9, 0.9682893490051245)"
"(10, 0.9373872624888303)"
"(11, 0.948705300700576)"
"(12, 0.9538415447778625)"
"(13, 0.942840195016964)"
"(14, 0.9632352109681841)"
"(15, 0.9561633237462691)"
"(16, 0.9349879824210602)"
"(17, 0.904846019292157)"
"(18, 0.9506732145156357)"
"(19, 0.9536376190754107)"
"(20, 0.8919327308438768)"
"(21, 0.9344543937874399)"
"(22, 0.9106819134245099)"
"(23, 0.9009474464394459)"
"(24, 0.89876268439539)"
"(25, 0.9417303778910111)"
"(26, 0.9153140002811877)"
"(27, 0.9557271234408672)"
"(28, 0.9148369500426196)"
"(29, 0.9416371620562786)"
"(30, 0.9328388220407705)"
"(31, 0.9282238923095713)"
"(32, 0.96961372152346)"
"(33, 0.9143547005748647)"
"(34, 0.9696220281383556)"
"(35, 0.9599867760229975)"
"(36, 0.9504390419760368)"
"(37, 0.9609875981447148)"
"(38, 0.9271402911887667)"
"(39, 0.8996257324549969)"
"(40, 0.9418514145253296)"
"(41, 0.9004896067394316)"
"(42, 0.9088651028381729)"
"(43, 0.9586271628726587)"
"(44, 0.9749439152118943)"
"(45, 0.9347902224794143)"
"(46, 0.9465570355200195)"
"(47, 0.8963595806592236)"
"(48, 0.9590107741822137)"
"(49, 0.9013182843477325)"
"(50, 0.9546271924709875)"
"(51, 0.951994188014579)"
"(52, 0.8794343017425124)"
"(53, 0.8898308029490298)"
"(54, 0.9082169019488534)"
"(55, 0.9149813367134136)"
"(56, 0.9270472302761826)"
"(57, 0.8775010256933578)"
"(58, 0.9669917474318513)"
"(59, 0.9287569190747573)"
"(60, 0.8973250621617077)"
"(61, 0.9469432647254142)"
"(62, 0.9289877789308822)"
"(63, 0.9665381212459002)"
"(64, 0.8709664211925906)"
"(65, 0.9087312089824767)"
"(66, 0.9439785226134176)"
"(67, 0.9453115584891317)"
"(68, 0.9451066565084587)"
"(69, 0.93999629630919)"
"(70, 0.9553716593344922)"
"(71, 0.898812550432526)"
"(72, 0.9277572041024856)"
"(73, 0.9391092808499633)"
"(74, 0.9106558770492295)"
"(75, 0.8760843859177663)"
"(76, 0.9359038203047196)"
"(77, 0.9520417753610142)"
"(78, 0.9658934291533893)"
"(79, 0.9305844037384401)"
"(80, 0.9074696510434066)"
"(81, 0.9278941031644792)"
"(82, 0.9359114819893827)"
"(83, 0.94191714666554)"
"(84, 0.9080152852189288)"
"(85, 0.8846325041604424)"
"(86, 0.9513344408691331)"
"(87, 0.9759565714627065)"
"(88, 0.9483601509407348)"
"(89, 0.9512928284817058)"
"(90, 0.9636349716524538)"
"(91, 0.9217856369775594)"
"(92, 0.9515921764595024)"
"(93, 0.8001005044702735)"
"(94, 0.9598887418058285)"
"(95, 0.9569352980514996)"
"(96, 0.8122297348142263)"
"(97, 0.9635373540823237)"
"(98, 0.9123393776082789)"
"(99, 0.9098846784998964)"
"(100, 0.893641624972993)"
"(101, 0.931399713370814)"
"(102, 0.9474805543614195)"
"(103, 0.9518640675187943)"
"(104, 0.91816403590404)"
"(105, 0.9490400114110819)"
"(106, 0.9324280549802362)"
"(107, 0.8775420902966733)"
"(108, 0.9182386062572545)"
"(109, 0.8932907686821822)"
"(110, 0.9560771573416279)"
"(111, 0.9022248938021796)"
"(112, 0.9082427215508453)"
"(113, 0.9458491897400392)"
"(114, 0.9271704422810216)"
"(115, 0.9360211881204222)"
"(116, 0.9503263791686914)"
"(117, 0.9374674927056115)"
"(118, 0.9688507597481838)"
"(119, 0.9307521626271623)"
"(120, 0.9128269303829185)"
"(121, 0.9139772672455865)"
"(122, 0.9475521506236073)"
"(123, 0.9051091985457361)"
"(124, 0.846019966464138)"
"(125, 0.9446991041795109)"
"(126, 0.9661662443697997)"
"(127, 0.9546348277165648)"
"(128, 0.9339444876116523)"
"(129, 0.9647271914019343)"
"(130, 0.9076015256144203)"
"(131, 0.9421047104157275)"
"(132, 0.9073262291285187)"
"(133, 0.9021671559612826)"
"(134, 0.8531715448655831)"
"(135, 0.9399925821311567)"
"(136, 0.9002998112423901)"
"(137, 0.9093711368790302)"
"(138, 0.9356115727471439)"
"(139, 0.8651115764447003)"
"(140, 0.9530835868373744)"
"(141, 0.9132644262045869)"
"(142, 0.925767868614881)"
"(143, 0.9307662269624649)"
"(144, 0.9389148071835836)"
"(145, 0.9174318636672756)"
"(146, 0.9743498236927043)"
"(147, 0.946715522684602)"
"(148, 0.960434919692703)"
"(149, 0.9581461612030712)"
"(150, 0.9591526270041596)"
"(151, 0.9154162151588414)"
"(152, 0.937510860088158)"
"(153, 0.8750386358779619)"
"(154, 0.9546273842654007)"
"(155, 0.9421151503744851)"
"(156, 0.9649973263315088)"
"(157, 0.9321783080758674)"
"(158, 0.9305814395844174)"
"(159, 0.9575961498694685)"
"(160, 0.9198801316888446)"
"(161, 0.9054699953591032)"
"(162, 0.851782754121611)"
"(163, 0.9121651356406744)"
"(164, 0.9229204465631994)"
"(165, 0.8409404909426541)"
"(166, 0.9551399596805688)"
"(167, 0.9442021358577777)"
"(168, 0.9018421056115741)"
"(169, 0.9211057916190434)"
"(170, 0.9368087375108544)"
"(171, 0.9029466926394988)"
"(172, 0.876572955914529)"
"(173, 0.9514582622317365)"
"(174, 0.8850913256636604)"
"(175, 0.9373694563749982)"
"(176, 0.9260586139073652)"
"(177, 0.9539471611620047)"
"(178, 0.8867514370332644)"
"(179, 0.9366518477370845)"
"(180, 0.8400283212140203)"
"(181, 0.9634234417097118)"
"(182, 0.9311892475571101)"
"(183, 0.9091610049517352)"
"(184, 0.9450934379369104)"
"(185, 0.891677745047898)"
"(186, 0.9343436053960722)"
"(187, 0.909086861656994)"
"(188, 0.9306624120228498)"
"(189, 0.9562321764545332)"
"(190, 0.9662131479574982)"
"(191, 0.8885859988000374)"
"(192, 0.9234742621437423)"
"(193, 0.942589314991377)"
"(194, 0.9497924706914419)"
"(195, 0.9118152912850152)"
"(196, 0.9412887924357504)"
"(197, 0.8642618982084291)"
"(198, 0.9183254797417967)"
"(199, 0.937331779565103)"
"(200, 0.9437827804558954)"
"(201, 0.8336481146725057)"
"(202, 0.9145684020537934)"
"(203, 0.9361629588269952)"
"(204, 0.9438499982242111)"
"(205, 0.9319184677199812)"
"(206, 0.9499153433948782)"
"(207, 0.929966698603449)"
"(208, 0.93894951235379)"
"(209, 0.8805257004045206)"
"(210, 0.8467678631712159)"
"(211, 0.8814756012538754)"
"(212, 0.8591368825561473)"
"(213, 0.7453219427979142)"
"(214, 0.9005102986119891)"
"(215, 0.9350126644096355)"
"(216, 0.921880241181262)"
"(217, 0.9213860651191995)"
"(218, 0.9355781264976679)"
"(219, 0.9355371489151715)"
"(220, 0.9092494782706684)"
"(221, 0.9503036022256452)"
